PK,Product,Quantity,yymm
279,B969,0,202008
280,B970,0,202008
281,B971,0,202008
282,B972,0,202008
283,B973,0,202008
284,B974,0,202008
285,B975,1032,202008
286,B976,1164,202008
287,B977,0,202008
288,B979,0,202008
289,B980,0,202008
290,B981,0,202008
291,B982,0,202008
292,B983,7,202008
293,B984,0,202008
294,B985,0,202008
295,B986,0,202008
296,B987,0,202008
297,B988,0,202008
298,B989,325,202008
299,B990,0,202008
300,B992,0,202008
301,B993,0,202008
302,B994,140,202008
303,B995,0,202008
304,B996,0,202008
305,B997,0,202008
306,B998,0,202008
307,B999,0,202008
308,B1000,0,202008
309,B1002,0,202008
310,B1003,0,202008
311,B1004,0,202008
312,B1005,0,202008
313,B1006,0,202008
314,B1007,231,202008
315,B1008,0,202008
316,B1009,0,202008
317,B1010,0,202008
318,B1011,0,202008
319,B1012,369,202008
320,B1013,0,202008
321,B1014,1314,202008
322,B1015,0,202008
323,B1016,0,202008
324,B1017,0,202008
325,B1018,0,202008
326,B1019,0,202008
327,B1020,0,202008
328,B1021,0,202008
329,B1022,0,202008
330,B1023,0,202008
331,B1024,0,202008
332,B1025,0,202008
333,B1026,0,202008
334,B1027,0,202008
335,B1028,0,202008
336,B1029,0,202008
337,B1030,0,202008
338,B1031,0,202008
339,B1032,0,202008
340,B1033,2158,202008
341,B1034,0,202008
342,B1035,0,202008
343,B1036,0,202008
344,B1037,0,202008
345,B1038,0,202008
346,B1039,0,202008
347,B1040,0,202008
348,B1041,0,202008
349,B1042,0,202008
350,B1043,0,202008
351,B1044,0,202008
352,B1045,0,202008
353,B1046,0,202008
354,B1047,0,202008
355,B1048,0,202008
356,B1049,0,202008
357,B1050,0,202008
358,B1051,0,202008
359,B1052,0,202008
360,B1053,0,202008
361,B1054,0,202008
362,B1055,0,202008
363,B1056,0,202008
364,B3,0,202009
365,B4,0,202009
366,B5,0,202009
367,B6,0,202009
368,B7,0,202009
369,B8,0,202009
370,B9,0,202009
371,B10,0,202009
372,B11,0,202009
373,B12,0,202009
374,B13,0,202009
375,B14,0,202009
376,B15,0,202009
377,B16,0,202009
378,B17,0,202009
379,B18,0,202009
380,B19,0,202009
381,B20,0,202009
382,B25,0,202009
383,B27,0,202009
384,B30,0,202009
385,B54,223,202009
386,B60,78,202009
387,B63,534,202009
388,B64,200,202009
389,B65,36,202009
390,B66,11,202009
391,B67,0,202009
392,B69,24,202009
393,B70,85,202009
394,B71,28,202009
395,B72,0,202009
396,B73,0,202009
397,B74,0,202009
398,B75,46,202009
399,B76,0,202009
400,B77,81,202009
401,B78,0,202009
402,B81,0,202009
403,B83,1,202009
404,B85,37,202009
405,B86,0,202009
406,B88,0,202009
407,B89,0,202009
408,B90,0,202009
409,B91,0,202009
410,B92,0,202009
411,B93,0,202009
412,B94,208,202009
413,B95,0,202009
414,B96,0,202009
415,B97,0,202009
416,B98,0,202009
417,B99,0,202009
418,B100,0,202009
419,B101,0,202009
420,B102,0,202009
421,B103,110,202009
422,B104,0,202009
423,B105,0,202009
424,B106,0,202009
425,B107,0,202009
426,B108,0,202009
427,B113,0,202009
428,B114,63,202009
429,B115,0,202009
430,B116,0,202009
431,B117,0,202009
432,B118,0,202009
433,B119,43,202009
434,B120,0,202009
435,B121,0,202009
436,B122,0,202009
437,B123,0,202009
438,B124,0,202009
439,B125,0,202009
440,B126,0,202009
441,B127,0,202009
442,B128,0,202009
443,B129,0,202009
444,B130,0,202009
445,B131,0,202009
446,B132,0,202009
447,B133,0,202009
448,B134,0,202009
449,B135,0,202009
450,B136,0,202009
451,B137,78,202009
452,B138,0,202009
453,B139,0,202009
454,B140,0,202009
455,B141,0,202009
456,B142,343,202009
457,B143,42,202009
458,B146,0,202009
459,B147,34,202009
460,B152,343,202009
461,B153,158,202009
462,B154,0,202009
463,B155,0,202009
464,B156,0,202009
465,B157,0,202009
466,B158,70,202009
467,B159,423,202009
468,B160,0,202009
469,B161,0,202009
470,B162,0,202009
471,B163,0,202009
472,B164,0,202009
473,B165,0,202009
474,B166,0,202009
475,B167,0,202009
476,B168,56,202009
477,B169,0,202009
478,B170,0,202009
479,B171,0,202009
480,B172,0,202009
481,B173,0,202009
482,B174,0,202009
483,B175,0,202009
484,B176,0,202009
485,B177,0,202009
486,B178,65,202009
487,B179,0,202009
488,B180,67,202009
489,B182,0,202009
490,B185,190,202009
491,B186,38,202009
492,B188,192,202009
493,B189,0,202009
494,B190,193,202009
495,B195,258,202009
496,B198,86,202009
497,B199,64,202009
498,B208,1226,202009
499,B225,566,202009
500,B254,192,202009
501,B256,56,202009
502,B266,110,202009
503,B267,55,202009
504,B275,372,202009
505,B283,0,202009
506,B288,0,202009
507,B296,483,202009
508,B388,460,202009
509,B390,202,202009
510,B432,16,202009
511,B453,0,202009
512,B462,353,202009
513,B469,69,202009
514,B471,456,202009
515,B478,178,202009
516,B479,117,202009
517,B488,0,202009
518,B490,0,202009
519,B626,241,202009
